"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Bauer, Trevor","545333","2412","2343","2640",,"1704","2548",,,"2737",
"Rodriguez, Eduardo","593958","2202","2142","2226","2211","2049","2285",,,,
"Lynn, Lance","458681","2482","2308","2583",,"1811","2352",,,,
"Strasburg, Stephen","544931","2167","2129",,"2250","1679","2773",,,,
"Cole, Gerrit","543037","2530","2508",,"2622","1870","2901",,,,
"Minor, Mike","501985","2650",,,"2737","2287","2534",,,,
"Nola, Aaron","605400","2171","2132",,,"1570","2574",,,,
"Corbin, Patrick","571578","2283","2195",,"2398","1646","1989",,,,
"Verlander, Justin","434378","2577",,,"2612","1866","2821",,,,
"Bumgarner, Madison","518516","2405","2400","2488",,"1638","2645",,,,
"Bieber, Shane","669456","2254","2189",,"2370","1725","2303",,,,
"deGrom, Jacob","594798","2388","2281",,"2454","1702","2567",,,,
"Flaherty, Jack","656427","2222","2009",,"2381","1700","2501",,,,
"Gonzales, Marco","594835","2252",,"2246",,"2171","2346",,,,
"López, Reynaldo","625643","2137",,,"2120","1609","2084",,,,
"Wheeler, Zack","554430","2341","2256","2385",,"1827","2648","1267",,,
"Morton, Charlie","450203","2259","2102","2436",,,"2886","2124",,,
"Berríos, José","621244","2190","2110",,,"1705","2189",,,,"2337"
"Boyd, Matthew","571510","2384","2356","2330","2377","1959","2248",,,,
"Syndergaard, Noah","592789","2197","2106",,"2178","1687","2275",,,,
"Alcantara, Sandy","645261","2356","2393",,"2478","1923","2481",,,,
"Greinke, Zack","425844","2326","2253","2409","2517","1780","2446","1703",,,
"Castillo, Luis","622491","2170","2073",,"2330","1972",,,,,
"Ray, Robbie","592662","2257","2182",,"2145",,"2045",,,,
"Stroman, Marcus","573186","2459","2345","2615",,"1927","2681",,,,"2839"
"Lester, Jon","452657","2251","2143","2391",,"1939","2606",,,,
"Teheran, Julio","527054","2400","2264",,"2603","1704","2762",,,,
"Nova, Iván","467100","2246","2162","2143",,"2000","2258",,,,
"Samardzija, Jeff","502188","2571","2480","2607","2449",,"2498","1446",,,
"Leake, Mike","502190","2086","2023","2232","2506","1719","2572",,,,
"Porcello, Rick","519144","2434","2289",,"2555","1600","2810",,,,
"Kelly, Merrill","518876","2411","2313","2433",,"2108","2683",,,,
"Junis, Jakob","596001","2079","1923",,"2522","1336","2421",,,,
"Roark, Tanner","543699","2145","2087",,"2255","1701","2746",,,,
"Miley, Wade","489119","2210","2056","2258","2398","1869","2428",,,,
"Darvish, Yu","506433","2547","2480","2683","2694","1234","2617","1544",,"2727",
"Hudson, Dakota","641712","2168","2134",,"2430","1459","2196",,,,
"Fiers, Mike","571666","2322","2256",,"2481","1933","2781",,,,
"Buehler, Walker","621111","2456","2346","2713","2867","1516","2915",,,,
"Giolito, Lucas","608337","2333",,,"2036","1563","2512",,,,
"Gray, Sonny","543243","2526","2451","2578","2788","2040","2991",,,"2867",
"Bailey, Homer","456701","2092","2031",,"1837",,"1925","1121",,,
"Mikolas, Miles","571945","2302","2229",,"2327","1667","2588",,,,
"Tanaka, Masahiro","547888","2143","1916","2077","2391",,"2391","1589",,,
"Odorizzi, Jake","543606","2236",,"2161",,,"2253","1489",,,
"Wainwright, Adam","425794","2191","2171","2341",,"1769","2752",,,,
"Bundy, Dylan","605164","2458","2288",,"2573","1569","2404",,,,
"Pérez, Martín","527048","2131","2051","2307",,"1795","2637",,,,
"Scherzer, Max","453286","2474",,"2441","2365","1551","2719",,,,
"Gibson, Kyle","502043","2211","2098",,"2469","1660","2482",,,,
"Thornton, Trent","663423","2372","2315","2690","3092","1497","2784","1345",,,
"Quintana, Jose","500779","2016","1978",,,"1287","2211",,,,"2230"
"Keller, Brad","641745","2296","2103",,"2510","1706",,,,,
"Ryu, Hyun Jin","547943","2084","2021","2065","2337","1487","2573",,,,
"Matz, Steven","571927",,"2102",,"2069","2301","2448",,,,
"Happ, J.A.","457918","2319","2103",,"2191","1715","2205",,,,
"Hendricks, Kyle","543294","2044","1959",,,"2115","2784",,,,
"Sánchez, Aníbal","434671","2238","2134","2316","2306","1421","2113","1717",,,
"Means, John","607644","2376",,,"2326","2332","2268",,,,"2215"
"Davies, Zach","605200",,"2233","2313","2426","1785","2636",,,,
"Fried, Max","608331","2077","1988","2115","2562","1514","2844",,,,
"Paxton, James","572020","2263",,"2081",,"2073","2013",,,,
"Smith, Caleb","592761","2425",,,"2297","1918",,,,,
"Anderson, Brett","474463","2028","1799",,"2384","1481","2393",,,,
"Turnbull, Spencer","605513","2396","2188",,"2438","1810","2571",,,,
"Musgrove, Joe","605397","2419","2278","2514","2495","2001","2575",,,,
"Lucchesi, Joey","664192",,"2215","2232",,,"2091",,,,
"Kikuchi, Yusei","579328","2096",,,"2220","1772","2527",,,,
"Márquez, Germán","608566","2225","2171",,"2371","1969","2693",,,,
"DeSclafani, Anthony","543101","2249","2086",,"2315","1535","2048",,,,
"Kershaw, Clayton","477132","2477",,,"2668","2210","2463",,,,
"Eflin, Zach","621107","2186","2090","2227","2247","1787","2416",,,,
"Soroka, Michael","647336","2362","2175",,"2777","2177",,,,,
"Cashner, Andrew","488768","2204","2048",,"2255","1545","2349",,,,
"Lauer, Eric","641778","2216",,"2211","2393","1982","2376",,,,
"Vargas, Jason","450306","2234","2203",,,"2208","2433",,,,
"Sale, Chris","519242","2383","2293",,"2492","1965",,,,,
"Maeda, Kenta","628317","2287","2228",,"2525",,"2685","1522",,,
"Bassitt, Chris","605135","2219","2146","2253","2313","2057","2238",,,,
"Hamels, Cole","430935","2059","2034","1994",,"1713","2040",,,,
"Lyles, Jordan","543475","2162","2135",,"2333","1549","2491",,,,
"Gray, Jon","592351","2066","1799",,"2220","1559","2518",,,,
"Norris, Daniel","596057","2385","2231",,"2512","1568","2536",,,,
"Williams, Trevor","592866","2203","1937",,"2202","1814","2259",,,,
"Sanchez, Aaron","592717","2253","2241",,,"1811","2841",,,,
"Anderson, Chase","502624","2166","2167","2382",,"2311","2171",,,,
"Richards, Trevor","670950","2139",,"2030",,"2392","2228",,,,
"Paddack, Chris","663978","2230",,,,"1707","2145",,,,
"Sparkman, Glenn","642098","2251",,"2071","2411","2032","2477",,,,
"Germán, Domingo","593334","2440","2420",,,"2414","2599",,,,
"Senzatela, Antonio","622608","2102",,,"2136","2059","2214",,,,
"Wacha, Michael","608379","2032","1940","2097",,"1606","2066",,,,
"Arrieta, Jake","453562","2275","2196",,"2363","1730","2766",,,,
"Pineda, Michael","501381","1999","1953",,"2012","1864",,,,,
"Duffy, Danny","518633","2242","2181",,"2310","2295","2346",,,,
"Mahle, Tyler","641816","2161",,"2457",,,"2595","1632",,,
"Smyly, Drew","592767",,"2084","2057",,"1187","1950",,,,
"Velasquez, Vince","592826","2398","2025",,"2467",,"2475",,,,
"Archer, Chris","502042","2264","2239",,"2613","1642","2678",,,,
"Clevinger, Mike","605182","2341",,,"2516","1540","2310",,,,
"López, Jorge","605347","1945","1878",,"2199","1574","2450",,,,
"Yarbrough, Ryan","642232","1990","1897","2176",,"2123","2405",,,,
"Sampson, Adrian","592716",,"2016",,"2595","1856","2516",,,,
"Jurado, Ariel","642558","2031","1770",,"2124","1945","2267",,,,
"Beede, Tyler","595881","2320","2260",,"2199","1600","2292",,,,
"Brault, Steven","643230","2068","1888","2211","2192","1582","2032",,,,
"Chirinos, Yonny","630023","2399","2278",,"2335",,,"1294",,,
"Woodruff, Brandon","605540","2257","2165",,"2324","1792","2298",,,,
"LeBlanc, Wade","453281","1935","1888","2005",,"1544","2272",,,,
"Chacín, Jhoulys","468504","2158","2080",,"2354","1422","2582",,,,
"Pomeranz, Drew","519141","2436","2358","2354",,"1967","2283",,,,
"Brooks, Aaron","605156","2083","2013",,"2467","1642","2272",,,,
"Plesac, Zach","668676","2133",,,"2028","1543","1955",,,,
"Snell, Blake","605483","2353",,,"2367","1821","2464",,,,
"Foltynewicz, Mike","592314","2237","2184",,"2443","1876","2436",,,,
"Zimmermann, Jordan","519455","2284","2201",,"2288","1708","2372",,,,
"Keuchel, Dallas","572971","2123","2006","2134","2229","1572",,,,,
"Price, David","456034","2209","2188","2193",,"1800","2264",,,,
"Beeks, Jalen","656222","2005","2047","2167",,"1837","2586",,,,
"Ynoa, Gabriel","593679","2049","2029",,"2280","2007","2306",,,,
"Houser, Adrian","605288","2193","2145",,"2216","1553","2004",,,,
"Plutko, Adam","592644","2265",,"2456","2738","1630","2886",,,,
"López, Pablo","641154","2069","2036",,,"1943","2358",,,,
"Strahm, Matt","621381","2306","2328","2460",,"2086","2574",,,,
"Quantrill, Cal","615698","2135","2060",,"2346","1429","2326",,,,
"Freeland, Kyle","607536","2291","2269",,"2235","1519","2256",,,,
"Sabathia, CC","282332","2098","2051","2194","2208","1885",,,,,
"Cahill, Trevor","502239","2220","2207","2154",,"1566","2950",,,,
"Heaney, Andrew","571760",,"2524",,,"1988","2545",,,,
"Milone, Tommy","543548","2192",,,"2328","1745","2471",,,,
"Rodríguez, Dereck","605446","2051","2058","2165",,"1935","2589",,,,
"Gausman, Kevin","592332","2249",,,"2310","1773",,"1576",,,
"Pivetta, Nick","601713","2340","2146",,"2306","1928","2861",,,,
"Peralta, Freddy","642547","2454",,,,"1966","2424",,,,
"Anderson, Shaun","641312","2495","2335",,"2649","1454","2519",,,,
"Lambert, Peter","663567","2256","2247",,"2164","1534","2277",,,,
"Montgomery, Mike","543557","1978","1888","2050",,"1787","2281",,,,
"Peña, Félix","570240","2091","2099",,"2498","1675",,,,,
"Canning, Griffin","656288","2335",,,"2506","1671","2425",,,,
"Godley, Zack","643327","2255","2202","2238",,"1717","2123",,,,
"Font, Wilmer","521655","2370","2270",,"2259",,"2492","1333",,,
"Clarke, Taylor","664199","2316","2166",,"2227","1520","2484",,,,
"Peacock, Brad","502748","2296","2230",,,"1970","2599",,,"2751",
"Barria, Jaime","642545","2248","2215",,"2239","1478",,,,,
"Montas, Frankie","593423","2421","2359",,"2509",,,"1636",,,
"Suarez, José","660761","2243",,,"2476","1608","2788",,,,
"Holland, Derek","502706",,"2386",,"2243","1864","2098",,,,
"Wojciechowski, Asher","592879","2235",,"2408","2371","2000",,,,,
"Stripling, Ross","548389","2274","2134","2314","2369","1584","2650",,,,
"Hernández, Elieser","622694","2247","2174",,"2245","1886",,,,,
"Hess, David","605276","2184","2039",,"2322","1595","2351",,,,
"Gaviglio, Sam","543208",,"2092",,"2140","1232","2128",,,,
"González, Gio","461829","2261","2145",,,"1623","2688",,,,
"Gallen, Zac","668678","2370","2255","2329",,"1499","2404",,,,
"Skaggs, Tyler","572140","2193",,,,"1699","2609",,,,
"Yamamoto, Jordan","657141","2248","2371","2517","2793","1855","2637",,,,
"Ureña, José","570632","2044","2157",,"2315","1712","2328",,,,
"Cease, Dylan","656302","2449","2403",,"2622","1626","2622",,,,
"Cessa, Luis","570666","2302","2221",,"2491","1645","2397",,,,
"Guerra, Junior","448855","2459","2356",,,,"2651","1235",,,
"Urías, Julio","628711","2510","2456",,"2583","1855","2750",,,,
"Waguespack, Jacob","621097","2011","1983","1984","2121","1519","2168",,,,
"Young, Alex","622065","2219","2208","2347",,"1794","2379",,,,
"Ramirez, Nick","598286","2032","1972","2178",,"1471","2281",,,,
"Green, Chad","643338","2465",,,"2252",,,"1952",,,
"Hendriks, Liam","521230","2381","2160",,"2156",,"2117",,,,
"Jackson, Edwin","429719","2270","2112","2339","2299","2221","2518",,,,
"Barnes, Matt","598264","2411",,,,"2113","2274",,,,
"Chavez, Jesse","445926","2312","2124","2311","2333","2063","2429",,,,
"Barlow, Scott","605130","2303","2200",,"2445","1593","2516",,,,
"Cortes, Nestor","641482","2189","2174",,"2319","1467","2199",,,,
"Stanek, Ryne","592773","2364",,,"2251",,,"1103",,,
"Lorenzen, Michael","547179","2538","2372","2596","2635","2150","2531",,,,
"McHugh, Collin","543521","2316","2333","2561",,"1613","2797",,,"2825",
"Fedde, Erick","607200","1860","1807","2079",,"1624","2355",,,,
"Chatwood, Tyler","543022","2479","2516","2760",,"1789","3092",,,,
"Bradley, Archie","605151","2242","2134",,,"1526","1978",,,,
"Leclerc, José","600917","2655","2430",,"2713","2206","2667",,,,
"Peters, Dillon","596071","2245","2182",,"2388","1606","2909",,,,
"Carrasco, Carlos","471911","2391","2258",,"2729","1447","2886",,,,
"Lugo, Seth","607625","2220","2240",,"2435","1736","3285",,,,
"Walden, Marcus","519393","2228","2100","2279","2381",,,,,,
"Eovaldi, Nathan","543135","2186",,"2345","2237",,"2174","1578",,,
"Hoffman, Jeff","656546","2453",,,"2487","2252","2625","1419",,,
"Pannone, Thomas","623381","2219",,,"2348","1881","2447",,,,
"Jackson, Luke","592426","2304",,,"2576","2134","2645",,,,
"Stammen, Craig","489334","2129","2170","2341",,"2009","2363",,,,
"Stratton, Chris","608717","2498","2521","2453","2922","2106","3107",,,,
"Workman, Brandon","519443","2126",,"2196",,,"2608",,,,
"Estévez, Carlos","608032","2248","2215",,"2394","1717",,,,,
"Castro, Miguel","612434",,"2287",,"3029","2199",,,,,
"Lamet, Dinelson","659275","2407","2380",,"2653","1802","2710",,,,
"Hudson, Daniel","543339","2469","2445",,"2642","2383",,,,,
