"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Wheeler, Zack","554430","97.2","96.7","91.5",,"90.5","81.5",,,,
"Mahle, Tyler","641816","94",,"86.6","86.7",,,"86.4",,,
"Castillo, Luis","622491","97.1","97.3",,"86.4","88.3",,,,,
"Buehler, Walker","621111","95.3","95.3","91.6","84.9","91.5","80.1",,,,
"Ray, Robbie","592662","94.8","95.1",,"88.6","88.2","82.5",,,,
"Alcantara, Sandy","645261","98.1","97.6",,"90.4","91.8","83.7",,,,
"Wainwright, Adam","425794","89","89.1","84.9",,"82.7","73.4",,,,
"Berríos, José","621244","94.1","93.8",,,"84.8",,,,,"82.9"
"Montas, Frankie","593423","96.4","96.2","90.7","88.1",,,"87.5",,,
"Gausman, Kevin","592332","94.6",,,"82","83.8",,"83.6",,,
"Morton, Charlie","450203","95.5","94.6","87.5",,"86.4","80.6",,,,
"Manaea, Sean","640455","92.1","92.1",,"82.8","84.5",,,,"78.2",
"Nola, Aaron","605400","92.9","92","86.7",,"85.2","78.5",,,,
"Giolito, Lucas","608337","93.8",,,"85.6","81.5","80.6",,,,
"Cole, Gerrit","543037","97.7","97.7",,"88.4","89.8","83.4",,,,
"Lyles, Jordan","543475","93","91.6","86.3","84.9","86.4","80.3",,,"82.3",
"Cease, Dylan","656302","96.7",,,"85.9","78.1","79.9",,,,
"Musgrove, Joe","605397","93.3","93.2","90.6","84.1","87.1","82.1",,,,
"Eovaldi, Nathan","543135","96.8",,"92.5","85.8",,"78.5","87.9",,,
"Gibson, Kyle","502043","92.8","92.3","89.5","83.5","84.8","79.4",,,"83.5",
"Scherzer, Max","453286","94.3",,"90","85.8","85","76.9",,,,
"Flexen, Chris","623167","92.8",,"89.1",,"82.7","77.2",,,,
"Woodruff, Brandon","605540","96.5","96.2",,"86.5","86.5","83.8",,,,
"Hendricks, Kyle","543294","87.3","87.3",,,"80","73.2",,,,
"Márquez, Germán","608566","94.8","94",,"86.2","86.1","85.2",,,,
"McCullers Jr., Lance","621121",,"93.9","89.6","86","85.8","84.2",,,,
"Urías, Julio","628711","94.1","94.7",,,"86.8",,,,,"81.4"
"Darvish, Yu","506433","94.5","94","91.3","86.2",,"75.3","88.8",,"81.6",
"Corbin, Patrick","571578","92.3","92.6",,"80.7","81.5","65.2",,,,
"Pivetta, Nick","601713","94.8","93.3","86.9","85.9","87.9","78.6",,,,
"Stroman, Marcus","573186","92.6","91.9","89.9","87.2",,"74.9","86.1",,,"84.9"
"Keuchel, Dallas","572971","89","87.8","85.1","77.8","79.6",,,,,
"Rodriguez, Eduardo","593958","92.5","92.5","88.3","82.1","85.4",,,,,
"Ryu, Hyun Jin","547943","89.9","89.3","86.3","79.8","79.9","73.9",,,,
"Irvin, Cole","608344","90.8","90.5","90.7","83","84.2","76.9",,,,
"Happ, J.A.","457918","91","89.1",,"83","86.1","76.2",,,,
"Minor, Mike","501985","90.9",,,"85.6","85.2","80.4",,,,
"Anderson, Tyler","542881","90.6","88.9","85.2","80","80.9","73.7",,,,
"Burnes, Corbin","669203","96.4","96.9","95.2","88","90.7","81.2",,,,
"Miley, Wade","489119","89.9","88.7","85.4","79.3","81.9","74.7",,,,
"Davies, Zach","605200","89.1","88","86.6","80","78.5","74.2",,,,
"Montgomery, Jordan","656756","92.6","92.4","87.3",,"82.5","80",,,,
"Greinke, Zack","425844","88.9","89.5","85.2","83.6","86.4","71.1",,,,
"Kikuchi, Yusei","579328","95.1",,"91.3","82.5","86.2",,,,,
"Fried, Max","608331","94","93.5",,"84.9","84.7","74.4",,,"82.9",
"DeSclafani, Anthony","543101","94.1","94",,"87.9","88.2","83",,,,
"Matz, Steven","571927",,"94.5",,"88.9","85","77.6",,,,
"Skubal, Tarik","669373","94.3","94.5","94.2","86.5","82.1","73.8","85.1",,,
"Walker, Taijuan","592836","94.5","93.7","88.4","86.1",,"76.4","89.4",,,
"Gray, Jon","592351","94.9",,,"86.7","87.6","76",,,,
"Lynn, Lance","458681","94","92.4","88.7","81.2","87.1","82.1",,,,
"Garcia, Luis","677651","93.3",,"86.1","79.9","83.4","75.9",,,,
"Hill, Rich","448179","88.1","84.8","83.7","76.5","80.9","71.7",,,"69.1",
"Yarbrough, Ryan","642232","86.4","85.6","81.9",,"78.4","71.1",,,,
"Kelly, Merrill","518876","91.7","91.6","90.8",,"87.2","81.3",,,,
"Fedde, Erick","607200","93.2","93.8","89.4",,"87.7","79.7",,,,
"Senzatela, Antonio","622608","94.6","94.3",,"86.1","86","77.8",,,,
"Bassitt, Chris","605135","93.2","92.7","88.8","82.8","85.3","71.7",,,"75.2",
"Lester, Jon","452657","88.7","87.6","86.4",,"81.3","72.6",,,,
"Taillon, Jameson","592791","93.9","94.2","88.1","86.6","88","80.7",,,"84.5",
"Mize, Casey","663554","93.9","93.2",,"85.9",,"81.3","85.8",,,
"Peralta, Freddy","642547","93.4","92.4",,"80.5","88","76.8",,,,
"Houser, Adrian","605288","94.1","93.6",,"84","87.7","80",,,,
"Keller, Brad","641745","94.2","93.7",,"86.1","90",,,,,
"Snell, Blake","605483","95.1",,,"86.5","88.3","79.5",,,,
"Richards, Garrett","572070","94.3","95.6",,"88.1","90.6","78.3",,,,
"Means, John","607644","92.8",,,"86.3","83.4","78",,,,"77"
"Gonzales, Marco","594835","88.4",,"85.5",,"79.3","75.2",,,,
"Bumgarner, Madison","518516","90.4","89.8","86",,"83.8","77.8",,,,
"Singer, Brady","663903","92.7","93.7",,"85.4","88",,,,,
"Quantrill, Cal","615698","94.4","94.3","88.4","86.7","85","81.3",,,,
"Heaney, Andrew","571760","92",,,"79.9","83.8","79.4",,,,
"Foltynewicz, Mike","592314","93.8","93.1",,"83.2","85.3","76.7",,,,
"Harvey, Matt","518774","93.4","92.9",,"86.9","85.3","79.9",,,,
"Gray, Sonny","543243","92.3","92.4","86.6","83.6","88.2","79.3",,,"82",
"Rodón, Carlos","607074","95.4",,,"85.8","85.2","76.7",,,,
"Webb, Logan","657277","93.2","92.8","91.2",,"86.2",,,,"82.4",
"Plesac, Zach","668676","92.8",,,"86.7","85.7","80.2",,,,
"Bubic, Kris","663460","90.9",,,,"80","78.5",,,,
"Wood, Alex","622072",,"91.8",,"83.9","85.3",,,,,
"Anderson, Ian","666120","94.6","94.1",,,"88.1","80.7",,,,
"Crowe, Wil","640444","93.7","92.9",,"85.3","85.1","80.4",,,,
"Rogers, Trevor","669432","94.5","94.9",,"81.8","84.8",,,,,
"López, Jorge","605347","95.3","95.3",,"85.9","88.5","81.9",,,,
"Smyly, Drew","592767",,"92.1","87.6",,,"78.9",,,,
"Gilbert, Logan","669302","95.3",,,"83.4","79.9","75",,,,
"Gallen, Zac","668678","93.4","93.3","90.3","86.1","86.1","79.7",,,,
"Valdez, Framber","664285","92.1","92.5",,,"87.5","77.9",,,,
"Smith, Caleb","592761","91.4",,,"84.8","82.1","77.9",,,,
"Allard, Kolby","663465","91.5","92.5","86.3",,"83.6","75.9",,,,
"Ohtani, Shohei","660271","95.6",,"87","80.6",,"74.5","88.1",,"82.3",
"Kaprielian, James","621076","93","92.4",,"85.3","83.8","78",,,,
"McKenzie, Triston","663474","92.1",,,"86.4","86","79.3",,,,
"Gant, John","607231","92","91.6","85.4","80","80.1","74.7",,,,
"Wacha, Michael","608379","93.8","94.1","89.1",,"86.9","76.2",,,,
"Lauer, Eric","641778","92.6",,"90.3","87.4","86.6","78.9",,,,
"Alzolay, Adbert","640470","94","93.8","90.2","86.2","85.6","80",,,,
"McClanahan, Shane","663556","96.4",,,"89.1","89.2","82.5",,,,
"Brubaker, JT","664141","92.9","93.4",,"87.2","87.2","79.5",,,,
"Mills, Alec","621219","88.7","89.1",,"76.6","79.1","65.8",,,,
"Civale, Aaron","650644","91.4","91.8","87.7","83.4",,"77","85.6",,,
"Dunning, Dane","641540","90.1","90.4","85.8","79.7","84.5","78.2",,,,
"Freeland, Kyle","607536","91.4","91.3",,"86","85.8","80.2",,,,
"Cueto, Johnny","456501","91.8","91.6","87.5","84.1","82.7","78.9",,,,
"Paddack, Chris","663978","94.8",,,,"85.2","78.7",,,,
"Pérez, Martín","527048","93.4","92.8","89.6",,"84.8","78.7",,,,
"Keller, Mitch","656605","93.8",,"86.2",,"89.8","78.5",,,,
"Gomber, Austin","596295","91.6",,,"85.2","83.1","75.7",,,,
"Odorizzi, Jake","543606","92.2",,"86.7","83.1",,"73.5","84.7",,,
"Manoah, Alek","666201","93.7","92.8",,"81.1","86.8",,,,,
"Gutierrez, Vladimir","661269","93.2","92.9",,"83.3","81.4","77.6",,,,
"Kershaw, Clayton","477132","90.6",,,"87.1","87","74.2",,,,
"Javier, Cristian","664299","93.5",,,"81","86.6","75.9",,,,
"Bauer, Trevor","545333","93.9","94.4","85.3",,"88.1","79.6",,,"80.8",
"Kim, Kwang Hyun","547942","89.1","89",,"83.5","80.4","69.6",,,,
"Maeda, Kenta","628317","90.6","89.9",,"82.1",,"75.2","84.2",,"80.7",
