Name,Season,G,GS,GS/G,IP,ERA,Zone%,GB%,K%,BB%
"Stanek, Ryne",2018,59,29,0.4915254237,66.1,2.98,41.90%,32.70%,30.80%,10.30%
"Stanek, Ryne",2019,63,27,0.4285714286,77,3.97,38.80%,31.80%,27.20%,11.90%
"Keller, Brad",2018,41,20,0.487804878,140.1,3.08,40.80%,54.40%,16.50%,8.60%
"Espino, Paolo",2022,42,19,0.4523809524,113.1,4.84,42.30%,39.10%,18.90%,4.90%
"Hammel, Jason",2018,39,18,0.4615384615,127,6.02,44.80%,37.10%,15.80%,6.70%
"Pomeranz, Drew",2019,46,18,0.3913043478,104,4.85,43.50%,39.00%,30.10%,9.70%
"López, Jorge",2019,39,18,0.4615384615,123.2,6.33,41.40%,46.40%,19.90%,7.70%
"Font, Wilmer",2019,48,17,0.3541666667,84.1,4.48,44.40%,36.80%,26.70%,8.10%
"Voth, Austin",2022,41,17,0.4146341463,101.2,4.34,42.60%,34.50%,20.40%,7.00%
"Strahm, Matt",2019,46,16,0.347826087,114.2,4.71,49.30%,36.60%,24.20%,4.50%
"Pivetta, Nick",2023,38,16,0.4210526316,142.2,4.04,42.10%,36.40%,31.20%,8.50%
"Green, Chad",2019,54,15,0.2777777778,69,4.17,45.30%,35.50%,33.20%,6.40%
"Stripling, Ross",2019,32,15,0.46875,90.2,3.47,42.70%,50.20%,25.10%,5.40%
"Alexander, Tyler",2021,41,15,0.3658536585,106.1,3.81,42.60%,37.90%,19.30%,6.20%
"Sampson, Adrian",2019,35,15,0.4285714286,125.1,5.89,42.60%,40.20%,17.90%,6.40%
"García, Jaime",2018,33,14,0.4242424242,82,5.82,41.10%,43.00%,19.80%,11.90%
"Seabold, Connor",2023,27,13,0.4814814815,87.1,7.52,46.00%,33.40%,16.40%,6.90%
"Blach, Ty",2018,47,13,0.2765957447,118.2,4.25,44.10%,54.00%,14.60%,8.00%
"Hardy, Blaine",2018,30,13,0.4333333333,86,3.56,43.40%,42.00%,18.80%,6.30%
"Pivetta, Nick",2019,30,13,0.4333333333,93.2,5.38,43.20%,43.30%,21.10%,9.30%
"Smith, Caleb",2021,45,13,0.2888888889,113.2,4.83,42.60%,28.10%,24.80%,12.60%
"Ynoa, Gabriel",2019,36,13,0.3611111111,110.2,5.61,42.60%,46.70%,14.00%,5.40%
"Hearn, Taylor",2022,31,13,0.4193548387,100,5.13,42.10%,37.60%,21.60%,9.60%
"Walker, Ryan",2023,49,13,0.2653061224,61.1,3.23,41.80%,41.40%,29.70%,9.10%
"Johnson, Brian",2018,38,13,0.3421052632,99.1,4.17,41.10%,37.30%,20.00%,8.80%
"Montgomery, Mike",2019,33,13,0.3939393939,91,4.95,35.80%,49.00%,17.20%,8.50%
"Moore, Matt",2018,39,12,0.3076923077,102,6.79,47.40%,37.70%,18.30%,8.70%
"Erlin, Robbie",2018,39,12,0.3076923077,109,4.21,45.70%,46.70%,20.00%,2.70%
"Wood, Alex",2023,29,12,0.4137931034,97.2,4.33,41.30%,45.00%,17.20%,9.80%
"Ragans, Cole",2023,29,12,0.4137931034,96,3.47,40.90%,44.00%,28.80%,10.50%
"Suárez, Ranger",2021,39,12,0.3076923077,106,1.36,39.50%,59.20%,25.60%,7.90%
"Hentges, Sam",2021,30,12,0.4,68.2,6.68,39.20%,45.80%,21.40%,10.10%
"Price, David",2021,39,11,0.2820512821,73.2,4.03,47.90%,50.40%,17.80%,8.00%
"Hearn, Taylor",2021,42,11,0.2619047619,104.1,4.66,46.00%,39.40%,20.90%,9.50%
"Glasnow, Tyler",2018,45,11,0.2444444444,111.2,4.27,45.40%,49.80%,29.10%,11.30%
"Castillo, Diego",2018,43,11,0.2558139535,56.2,3.18,44.90%,45.30%,29.30%,8.10%
"Gomber, Austin",2018,29,11,0.3793103448,75,4.44,44.90%,38.10%,20.10%,9.60%
"Wesneski, Hayden",2023,34,11,0.3235294118,89.1,4.63,44.40%,40.20%,21.90%,8.40%
"Brebbia, John",2022,76,11,0.1447368421,68,3.18,44.30%,36.30%,18.80%,6.30%
"Cahill, Trevor",2019,37,11,0.2972972973,102.1,5.98,44.30%,45.90%,17.80%,8.60%
"Lambert, Peter",2023,25,11,0.44,87.1,5.36,42.40%,41.70%,18.90%,7.50%
"Hernández, Carlos",2021,24,11,0.4583333333,85.2,3.68,41.50%,39.50%,20.70%,11.50%
"Pomeranz, Drew",2018,26,11,0.4230769231,74,6.08,39.70%,37.10%,19.20%,12.80%
"Hoffman, Jeff",2021,31,11,0.3548387097,73,4.56,39.50%,37.70%,23.60%,13.40%
"Scholtens, Jesse",2023,26,11,0.4230769231,85,5.29,38.70%,41.30%,15.40%,8.00%
"Fleming, Josh",2021,26,11,0.4230769231,104.1,5.09,35.90%,55.70%,14.50%,6.90%
"Strahm, Matt",2023,56,10,0.1785714286,87.2,3.29,47.60%,33.00%,30.80%,6.00%
"Whitlock, Garrett",2023,22,10,0.4545454545,71.2,5.15,45.70%,44.20%,23.70%,4.30%
"Manaea, Sean",2023,37,10,0.2702702703,117.2,4.44,44.80%,40.90%,25.70%,8.40%
"Pallante, Andre",2022,47,10,0.2127659574,108,3.17,44.00%,63.90%,16.00%,8.80%
"Rasmussen, Drew",2021,35,10,0.2857142857,76,2.84,43.30%,47.30%,23.80%,8.10%
"Cessa, Luis",2022,46,10,0.2173913043,80.2,4.57,42.00%,48.80%,17.60%,8.30%
"Assad, Javier",2023,32,10,0.3125,109.1,3.05,41.20%,46.90%,20.90%,9.10%
"Martinez, Nick",2022,47,10,0.2127659574,106.1,3.47,38.80%,47.40%,21.20%,9.20%
"Quintana, Jose",2021,29,10,0.3448275862,63,6.43,37.20%,46.60%,28.60%,11.80%
"Whitlock, Garrett",2022,31,9,0.2903225806,78.1,3.45,46.70%,40.80%,26.40%,4.80%
"Curry, Xzavion",2023,41,9,0.2195121951,95,4.07,44.80%,31.70%,16.60%,7.40%
"Chirinos, Yonny",2023,20,9,0.45,85,5.4,44.80%,45.60%,14.40%,7.40%
"Yarbrough, Ryan",2023,25,9,0.36,89.2,4.52,44.40%,39.10%,17.80%,3.70%
"Yarbrough, Ryan",2022,20,9,0.45,80,4.5,43.70%,37.90%,17.20%,6.20%
"López, Reynaldo",2021,20,9,0.45,57.2,3.43,43.60%,39.00%,24.80%,5.90%
"Tomlin, Josh",2018,32,9,0.28125,70.1,6.14,43.50%,30.60%,14.30%,3.70%
"Velasquez, Vince",2022,27,9,0.3333333333,75.1,4.78,43.30%,35.70%,21.60%,7.80%
"Thompson, Zack",2023,25,9,0.36,66.1,4.48,42.80%,44.00%,25.10%,8.70%
"Lamet, Dinelson",2021,22,9,0.4090909091,47,4.4,41.30%,38.60%,27.30%,10.50%
"Steele, Justin",2021,20,9,0.45,57,4.26,41.20%,50.30%,23.80%,10.90%
"King, Michael",2023,49,9,0.1836734694,104.2,2.75,40.30%,42.80%,29.50%,7.40%
"Chavez, Jesse",2019,48,9,0.1875,78,4.85,40.20%,41.50%,21.40%,6.50%
"Godley, Zack",2019,33,9,0.2727272727,92,5.97,39.80%,43.00%,17.20%,10.30%
"Martinez, Nick",2023,63,9,0.1428571429,110.1,3.43,39.70%,53.80%,23.00%,8.70%
"Williams, Trevor",2022,30,9,0.3,89.2,3.21,39.20%,36.20%,22.60%,6.20%
"Javier, Cristian",2021,36,9,0.25,101.1,3.55,38.90%,27.60%,30.70%,12.50%
"Ross, Joe",2019,27,9,0.3333333333,64,5.48,38.80%,44.40%,19.30%,11.20%
"Miller, Shelby",2019,19,8,0.4210526316,44,8.59,47.60%,41.40%,13.60%,13.20%
"Alexander, Scott",2023,55,8,0.1454545455,48.1,4.66,46.50%,60.70%,14.90%,5.30%
"Swanson, Erik",2019,27,8,0.2962962963,58,5.74,46.30%,37.90%,21.20%,4.90%
